Country,Subnational region,Module,Indicator,Configuration,2015
AMRD,,Demographic Projection (DemProj),Defined age group,age 64; Total Region; Male,209350
AMRD,,Demographic Projection (DemProj),Defined age group,age 65; Total Region; Male,194330
AMRD,,Demographic Projection (DemProj),Defined age group,age 66; Total Region; Male,180334
AMRD,,Demographic Projection (DemProj),Defined age group,age 67; Total Region; Male,167938
AMRD,,Demographic Projection (DemProj),Defined age group,age 68; Total Region; Male,157568
AMRD,,Demographic Projection (DemProj),Defined age group,age 69; Total Region; Male,148633
AMRD,,Demographic Projection (DemProj),Defined age group,age 70; Total Region; Male,140061
AMRD,,Demographic Projection (DemProj),Defined age group,age 71; Total Region; Male,131332
AMRD,,Demographic Projection (DemProj),Defined age group,age 72; Total Region; Male,122765
AMRD,,Demographic Projection (DemProj),Defined age group,age 73; Total Region; Male,114240
AMRD,,Demographic Projection (DemProj),Defined age group,age 74; Total Region; Male,105759
AMRD,,Demographic Projection (DemProj),Defined age group,age 75; Total Region; Male,97447
AMRD,,Demographic Projection (DemProj),Defined age group,age 76; Total Region; Male,89275
AMRD,,Demographic Projection (DemProj),Defined age group,age 77; Total Region; Male,81109
AMRD,,Demographic Projection (DemProj),Defined age group,age 78; Total Region; Male,72959
AMRD,,Demographic Projection (DemProj),Defined age group,age 79; Total Region; Male,64940
AMRD,,Demographic Projection (DemProj),Defined age group,age 80; Total Region; Male,315179
AMRD,,Demographic Projection (DemProj),Defined age group,age 0; Total Region; Female,1009910
AMRD,,Demographic Projection (DemProj),Defined age group,age 1; Total Region; Female,1000516
AMRD,,Demographic Projection (DemProj),Defined age group,age 2; Total Region; Female,993108
AMRD,,Demographic Projection (DemProj),Defined age group,age 3; Total Region; Female,987790
AMRD,,Demographic Projection (DemProj),Defined age group,age 4; Total Region; Female,983716
AMRD,,Demographic Projection (DemProj),Defined age group,age 5; Total Region; Female,978814
AMRD,,Demographic Projection (DemProj),Defined age group,age 6; Total Region; Female,972938
AMRD,,Demographic Projection (DemProj),Defined age group,age 7; Total Region; Female,967727
AMRD,,Demographic Projection (DemProj),Defined age group,age 8; Total Region; Female,964302
AMRD,,Demographic Projection (DemProj),Defined age group,age 9; Total Region; Female,962653
AMRD,,Demographic Projection (DemProj),Defined age group,age 10; Total Region; Female,959806
AMRD,,Demographic Projection (DemProj),Defined age group,age 11; Total Region; Female,955489
AMRD,,Demographic Projection (DemProj),Defined age group,age 12; Total Region; Female,950417
AMRD,,Demographic Projection (DemProj),Defined age group,age 13; Total Region; Female,946212
AMRD,,Demographic Projection (DemProj),Defined age group,age 14; Total Region; Female,942661
AMRD,,Demographic Projection (DemProj),Defined age group,age 15; Total Region; Female,937355
AMRD,,Demographic Projection (DemProj),Defined age group,age 16; Total Region; Female,930262
AMRD,,Demographic Projection (DemProj),Defined age group,age 17; Total Region; Female,921989
AMRD,,Demographic Projection (DemProj),Defined age group,age 18; Total Region; Female,914519
AMRD,,Demographic Projection (DemProj),Defined age group,age 19; Total Region; Female,907318
AMRD,,Demographic Projection (DemProj),Defined age group,age 20; Total Region; Female,897963
AMRD,,Demographic Projection (DemProj),Defined age group,age 21; Total Region; Female,886516
AMRD,,Demographic Projection (DemProj),Defined age group,age 22; Total Region; Female,873116
AMRD,,Demographic Projection (DemProj),Defined age group,age 23; Total Region; Female,857628
AMRD,,Demographic Projection (DemProj),Defined age group,age 24; Total Region; Female,840629
AMRD,,Demographic Projection (DemProj),Defined age group,age 25; Total Region; Female,823732
AMRD,,Demographic Projection (DemProj),Defined age group,age 26; Total Region; Female,806797
AMRD,,Demographic Projection (DemProj),Defined age group,age 27; Total Region; Female,788547
AMRD,,Demographic Projection (DemProj),Defined age group,age 28; Total Region; Female,770384
AMRD,,Demographic Projection (DemProj),Defined age group,age 29; Total Region; Female,752259
AMRD,,Demographic Projection (DemProj),Defined age group,age 30; Total Region; Female,734908
AMRD,,Demographic Projection (DemProj),Defined age group,age 31; Total Region; Female,718762
AMRD,,Demographic Projection (DemProj),Defined age group,age 32; Total Region; Female,702037
AMRD,,Demographic Projection (DemProj),Defined age group,age 33; Total Region; Female,684460
AMRD,,Demographic Projection (DemProj),Defined age group,age 34; Total Region; Female,666148
AMRD,,Demographic Projection (DemProj),Defined age group,age 35; Total Region; Female,648373
AMRD,,Demographic Projection (DemProj),Defined age group,age 36; Total Region; Female,631497
AMRD,,Demographic Projection (DemProj),Defined age group,age 37; Total Region; Female,614964
AMRD,,Demographic Projection (DemProj),Defined age group,age 38; Total Region; Female,597879
AMRD,,Demographic Projection (DemProj),Defined age group,age 39; Total Region; Female,580418
AMRD,,Demographic Projection (DemProj),Defined age group,age 40; Total Region; Female,563463
AMRD,,Demographic Projection (DemProj),Defined age group,age 41; Total Region; Female,547034
AMRD,,Demographic Projection (DemProj),Defined age group,age 42; Total Region; Female,531058
AMRD,,Demographic Projection (DemProj),Defined age group,age 43; Total Region; Female,518658
AMRD,,Demographic Projection (DemProj),Defined age group,age 44; Total Region; Female,502627
AMRD,,Demographic Projection (DemProj),Defined age group,age 45; Total Region; Female,448165
AMRD,,Demographic Projection (DemProj),Defined age group,age 46; Total Region; Female,444590
AMRD,,Demographic Projection (DemProj),Defined age group,age 47; Total Region; Female,442277
AMRD,,Demographic Projection (DemProj),Defined age group,age 48; Total Region; Female,440461
AMRD,,Demographic Projection (DemProj),Defined age group,age 49; Total Region; Female,438918
AMRD,,Demographic Projection (DemProj),Defined age group,age 50; Total Region; Female,401424
AMRD,,Demographic Projection (DemProj),Defined age group,age 51; Total Region; Female,386392
AMRD,,Demographic Projection (DemProj),Defined age group,age 52; Total Region; Female,371825
AMRD,,Demographic Projection (DemProj),Defined age group,age 53; Total Region; Female,357689
AMRD,,Demographic Projection (DemProj),Defined age group,age 54; Total Region; Female,343960
AMRD,,Demographic Projection (DemProj),Defined age group,age 55; Total Region; Female,330651
AMRD,,Demographic Projection (DemProj),Defined age group,age 56; Total Region; Female,317828
AMRD,,Demographic Projection (DemProj),Defined age group,age 57; Total Region; Female,305616
AMRD,,Demographic Projection (DemProj),Defined age group,age 58; Total Region; Female,294036
AMRD,,Demographic Projection (DemProj),Defined age group,age 59; Total Region; Female,282889
AMRD,,Demographic Projection (DemProj),Defined age group,age 60; Total Region; Female,272559
AMRD,,Demographic Projection (DemProj),Defined age group,age 61; Total Region; Female,262212
AMRD,,Demographic Projection (DemProj),Defined age group,age 62; Total Region; Female,250498
AMRD,,Demographic Projection (DemProj),Defined age group,age 63; Total Region; Female,236877
AMRD,,Demographic Projection (DemProj),Defined age group,age 64; Total Region; Female,222155
AMRD,,Demographic Projection (DemProj),Defined age group,age 65; Total Region; Female,207289
AMRD,,Demographic Projection (DemProj),Defined age group,age 66; Total Region; Female,193558
AMRD,,Demographic Projection (DemProj),Defined age group,age 67; Total Region; Female,181566
AMRD,,Demographic Projection (DemProj),Defined age group,age 68; Total Region; Female,171781
AMRD,,Demographic Projection (DemProj),Defined age group,age 69; Total Region; Female,163533
AMRD,,Demographic Projection (DemProj),Defined age group,age 70; Total Region; Female,155592
AMRD,,Demographic Projection (DemProj),Defined age group,age 71; Total Region; Female,147354
AMRD,,Demographic Projection (DemProj),Defined age group,age 72; Total Region; Female,139205
AMRD,,Demographic Projection (DemProj),Defined age group,age 73; Total Region; Female,131054
AMRD,,Demographic Projection (DemProj),Defined age group,age 74; Total Region; Female,122917
AMRD,,Demographic Projection (DemProj),Defined age group,age 75; Total Region; Female,114940
AMRD,,Demographic Projection (DemProj),Defined age group,age 76; Total Region; Female,107062
AMRD,,Demographic Projection (DemProj),Defined age group,age 77; Total Region; Female,99076
AMRD,,Demographic Projection (DemProj),Defined age group,age 78; Total Region; Female,90927
AMRD,,Demographic Projection (DemProj),Defined age group,age 79; Total Region; Female,82698
AMRD,,Demographic Projection (DemProj),Defined age group,age 80; Total Region; Female,452509
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 0; Total Region; Male+Female,0.16143
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 1; Total Region; Male+Female,0.04902
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 2; Total Region; Male+Female,0.01743
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 3; Total Region; Male+Female,0.01125
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 4; Total Region; Male+Female,0.00803
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 5; Total Region; Male+Female,0.00605
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 6; Total Region; Male+Female,0.00481
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 7; Total Region; Male+Female,0.00407
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 8; Total Region; Male+Female,0.00359
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 9; Total Region; Male+Female,0.00329
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 10; Total Region; Male+Female,0.00305
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 11; Total Region; Male+Female,0.00285
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 12; Total Region; Male+Female,0.00277
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 13; Total Region; Male+Female,0.00284
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 14; Total Region; Male+Female,0.00313
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 15; Total Region; Male+Female,0.00375
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 16; Total Region; Male+Female,0.00418
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 17; Total Region; Male+Female,0.00467
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 18; Total Region; Male+Female,0.00518
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 19; Total Region; Male+Female,0.00567
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 20; Total Region; Male+Female,0.00616
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 21; Total Region; Male+Female,0.00661
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 22; Total Region; Male+Female,0.007
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 23; Total Region; Male+Female,0.00727
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 24; Total Region; Male+Female,0.00748
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 25; Total Region; Male+Female,0.00768
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 26; Total Region; Male+Female,0.00797
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 27; Total Region; Male+Female,0.00821
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 28; Total Region; Male+Female,0.00846
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 29; Total Region; Male+Female,0.00872
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 30; Total Region; Male+Female,0.00899
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 31; Total Region; Male+Female,0.00929
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 32; Total Region; Male+Female,0.00963
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 33; Total Region; Male+Female,0.01002
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 34; Total Region; Male+Female,0.01046
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 35; Total Region; Male+Female,0.01098
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 36; Total Region; Male+Female,0.01162
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 37; Total Region; Male+Female,0.0123
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 38; Total Region; Male+Female,0.01301
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 39; Total Region; Male+Female,0.01375
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 40; Total Region; Male+Female,0.01455
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 41; Total Region; Male+Female,0.01543
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 42; Total Region; Male+Female,0.01641
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 43; Total Region; Male+Female,0.01753
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 44; Total Region; Male+Female,0.01878
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 45; Total Region; Male+Female,0.02051
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 46; Total Region; Male+Female,0.02223
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 47; Total Region; Male+Female,0.02405
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 48; Total Region; Male+Female,0.02595
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 49; Total Region; Male+Female,0.02803
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 50; Total Region; Male+Female,0.03029
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 51; Total Region; Male+Female,0.03281
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 52; Total Region; Male+Female,0.03565
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 53; Total Region; Male+Female,0.03882
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 54; Total Region; Male+Female,0.04237
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 55; Total Region; Male+Female,0.04633
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 56; Total Region; Male+Female,0.05069
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 57; Total Region; Male+Female,0.05551
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 58; Total Region; Male+Female,0.06081
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 59; Total Region; Male+Female,0.06661
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 60; Total Region; Male+Female,0.07296
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 61; Total Region; Male+Female,0.07999
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 62; Total Region; Male+Female,0.08783
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 63; Total Region; Male+Female,0.0966
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 64; Total Region; Male+Female,0.10633
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 65; Total Region; Male+Female,0.11708
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 66; Total Region; Male+Female,0.12902
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 67; Total Region; Male+Female,0.14233
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 68; Total Region; Male+Female,0.15712
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 69; Total Region; Male+Female,0.17356
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 70; Total Region; Male+Female,0.19178
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 71; Total Region; Male+Female,0.21194
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 72; Total Region; Male+Female,0.23417
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 73; Total Region; Male+Female,0.25853
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 74; Total Region; Male+Female,0.2851
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 75; Total Region; Male+Female,0.31404
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 76; Total Region; Male+Female,0.34602
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 77; Total Region; Male+Female,0.38187
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 78; Total Region; Male+Female,0.42219
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 79; Total Region; Male+Female,0.46737
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 80; Total Region; Male+Female,1.53932
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 0; Total Region; Male,0.19793
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 1; Total Region; Male,0.06607
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 2; Total Region; Male,0.02252
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 3; Total Region; Male,0.01425
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 4; Total Region; Male,0.01005
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 5; Total Region; Male,0.00752
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 6; Total Region; Male,0.00596
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 7; Total Region; Male,0.00502
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 8; Total Region; Male,0.00441
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 9; Total Region; Male,0.00397
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 10; Total Region; Male,0.00363
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 11; Total Region; Male,0.00336
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 12; Total Region; Male,0.00326
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 13; Total Region; Male,0.00335
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 14; Total Region; Male,0.00368
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 15; Total Region; Male,0.00442
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 16; Total Region; Male,0.00498
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 17; Total Region; Male,0.00561
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 18; Total Region; Male,0.0062
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 19; Total Region; Male,0.00679
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 20; Total Region; Male,0.00739
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 21; Total Region; Male,0.00792
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 22; Total Region; Male,0.00831
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 23; Total Region; Male,0.00855
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 24; Total Region; Male,0.00866
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 25; Total Region; Male,0.00878
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 26; Total Region; Male,0.00893
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 27; Total Region; Male,0.00912
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 28; Total Region; Male,0.00936
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 29; Total Region; Male,0.00965
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 30; Total Region; Male,0.00998
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 31; Total Region; Male,0.01035
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 32; Total Region; Male,0.01078
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 33; Total Region; Male,0.01124
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 34; Total Region; Male,0.01176
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 35; Total Region; Male,0.01238
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 36; Total Region; Male,0.01317
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 37; Total Region; Male,0.01399
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 38; Total Region; Male,0.01487
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 39; Total Region; Male,0.0158
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 40; Total Region; Male,0.0168
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 41; Total Region; Male,0.01789
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 42; Total Region; Male,0.01912
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 43; Total Region; Male,0.02047
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 44; Total Region; Male,0.02198
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 45; Total Region; Male,0.02412
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 46; Total Region; Male,0.0262
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 47; Total Region; Male,0.0284
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 48; Total Region; Male,0.03077
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 49; Total Region; Male,0.03334
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 50; Total Region; Male,0.0362
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 51; Total Region; Male,0.03939
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 52; Total Region; Male,0.04297
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 53; Total Region; Male,0.047
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 54; Total Region; Male,0.05152
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 55; Total Region; Male,0.05655
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 56; Total Region; Male,0.06213
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 57; Total Region; Male,0.06825
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 58; Total Region; Male,0.07495
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 59; Total Region; Male,0.08229
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 60; Total Region; Male,0.09033
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 61; Total Region; Male,0.09918
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 62; Total Region; Male,0.10891
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 63; Total Region; Male,0.11963
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 64; Total Region; Male,0.13132
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 65; Total Region; Male,0.14409
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 66; Total Region; Male,0.15817
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 67; Total Region; Male,0.17385
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 68; Total Region; Male,0.1913
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 69; Total Region; Male,0.21066
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 70; Total Region; Male,0.23208
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 71; Total Region; Male,0.25564
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 72; Total Region; Male,0.28147
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 73; Total Region; Male,0.30965
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 74; Total Region; Male,0.34029
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 75; Total Region; Male,0.37359
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 76; Total Region; Male,0.41025
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 77; Total Region; Male,0.45107
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 78; Total Region; Male,0.49662
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 79; Total Region; Male,0.54722
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 80; Total Region; Male,1.68403
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 0; Total Region; Female,0.12312
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 1; Total Region; Female,0.03149
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 2; Total Region; Female,0.01225
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 3; Total Region; Female,0.00817
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 4; Total Region; Female,0.00598
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 5; Total Region; Female,0.00455
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 6; Total Region; Female,0.00362
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 7; Total Region; Female,0.00309
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 8; Total Region; Female,0.00278
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 9; Total Region; Female,0.00259
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 10; Total Region; Female,0.00245
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 11; Total Region; Female,0.00233
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 12; Total Region; Female,0.00229
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 13; Total Region; Female,0.00234
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 14; Total Region; Female,0.00255
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 15; Total Region; Female,0.00304
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 16; Total Region; Female,0.00336
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 17; Total Region; Female,0.00374
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 18; Total Region; Female,0.00414
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 19; Total Region; Female,0.00452
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 20; Total Region; Female,0.0049
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 21; Total Region; Female,0.0053
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 22; Total Region; Female,0.00566
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 23; Total Region; Female,0.00597
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 24; Total Region; Female,0.00626
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 25; Total Region; Female,0.00661
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 26; Total Region; Female,0.00699
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 27; Total Region; Female,0.00728
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 28; Total Region; Female,0.00755
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 29; Total Region; Female,0.00781
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 30; Total Region; Female,0.00803
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 31; Total Region; Female,0.00827
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 32; Total Region; Female,0.00853
AMRD,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 33; Total Region; Female,0.00885
